feature,importance
rl,12.545321747640276
sc10a,4.946317568582769
log_ratio,3.679507942127155
d10c10s,3.5092566297595993
d5rs,3.420882857705572
ra,3.237719341237109
ratio_p75,2.4699093641039527
ratio,2.202368536138283
cond_x_days,2.145003719945193
c20s,2.1021142998958413
dfc10,2.0666254875335475
dfr,2.0651283002220984
c10s,1.8712421162168935
rsa,1.8010996030279365
cr5s,1.7328553277597496
d5cr5,1.6116324728046938
d10c10r,1.6082448971811574
dfcr10,1.5888351143107053
dfs,1.5873396842289986
r5rs,1.472236525293525
cc,1.411490151816327
r20,1.3242348895319722
d10s,1.3217228686450624
log_days,1.2081524118271711
lva,1.1844301389815994
d10cr10,1.1711287494219436
r20r,1.1673408538449705
rs,1.1519645240395608
f_c10s,1.1455649979109497
r5,1.1425052922751333
c10r,1.0380808525787968
days,0.9970219862747706
d20s,0.990325952411097
r10r,0.9764594225619846
rc10a,0.9621166062024441
cr5r,0.9440807848706082
d10c10,0.9052020931224568
c5r,0.8294049877458752
lvc,0.8148773541446043
cr20r,0.7245475943128553
days_over_age,0.7093132065361655
d20r,0.699110121639759
log_cond_r,0.6806756429799123
V,0.6781613965140638
d10c10a,0.6294612156876972
d5,0.6234951937603961
sa,0.6095760353259907
rsx19,0.6012267447660544
d10r,0.564123187900964
days_fx,0.5507699478641858
d10,0.5450707434326983
log_condition,0.5172108612089062
d5c5,0.5107936231963326
cond_r,0.48702007979864165
cr20s,0.47143183831435764
age_range,0.4709318617187571
region,0.46058866690301736
x19l,0.4590352492708582
c5s,0.425423603935493
cr5,0.40248430083301223
r10a,0.3908098687449805
x20r,0.3853099591899695
cr10s,0.3757537091574723
d10a,0.35046847048933594
cond_over_days,0.3453970007778517
x20a,0.3409002135371333
x20c,0.32814517815870414
source,0.30376728099314654
d20c20,0.30204311583178484
d20,0.2975811066646982
r10p,0.2805426848595305
t3c,0.2787855921251731
c5,0.27874404878589565
r10s,0.27766759222652965
x20s,0.27576588686810966
f_d10r,0.2660882041330851
c20,0.26032246539207304
t3d5,0.2568912336842597
x19c,0.25647608960539925
cr10,0.2501533313152505
cr10a,0.24937269284139688
c10,0.2426489519651051
age_cat,0.23330545142746142
f_rs,0.23157708721922504
cr10r,0.22506912894841313
grades_c,0.22317725485330642
rp,0.22210870484104406
cdc,0.2200183129232834
d40,0.21815843964702608
d10p,0.2133150768508787
max_g,0.19880054774586314
bin_pat,0.1913287561087142
cr20,0.15138905597145008
version,0.13884876144726474
condition,0.12534804759503063
f_region,0.11942381719973048
r10,0.11536733112294505
f_bin_pat,0.10754388704698743
r40,0.09110010527101739
month,0.08039452926859755
f_version,0.06342147939415288
f_month,0.02387361873952506
grade_ord,0.016817341413531035
f_source,0.016769065963905854
sx20a,0.009011951831349181
t2,0.0
r1,0.0
c2,0.0
c1,0.0
r2,0.0
t1,0.0
condition_missing,0.0
bin_sum,0.0
w2,0.0
w1,0.0
rx20a,0.0
