col,nuniq,na,num_frac,num_auc,num_spear_am40,te_kind,te_auc,te_sig,te_spear_am40,singleton
days,14928,0.0,1.0,0.5932241821573325,0.5861263446396895,qbin20,0.5924462404434753,0.09244624044347527,0.5957182313426257,0.0
condition,14714,0.009645010046885465,0.9903549899531146,0.5323898317701354,0.15491136352010174,qbin20,0.5545682486929564,0.0545682486929564,0.26455183331649207,0.0
livability,22,0.0,1.0,0.5048214771921193,0.021845576988934506,as_str,0.5426252548605621,0.04262525486056212,0.2996572379840509,0.0
region,20,0.0,0.18385800401875418,,,as_str,0.5408213525980452,0.0408213525980452,0.3026477871219013,0.0
x5,14925,0.0,1.0,0.5247231662976612,0.10179198649204751,qbin20,0.5329363240687887,0.03293632406878866,0.051877953164722206,0.0
t3,163,0.0,0.0,,,as_str,0.5258459310680299,0.025845931068029904,0.05518515327279819,6.697923643670462e-05
V,337,0.0,1.0,0.5204809719372747,0.12850929623878996,qbin20,0.5211828087644169,0.021182808764416916,0.09364076431443358,0.0
age_range,10,0.0,1.0,0.522893290350368,0.11714533661026444,as_str,0.5195091978689239,0.01950919786892391,0.10354301370260631,0.0
source,11,0.0,0.0,,,as_str,0.517571322146139,0.01757132214613899,0.14399963443187305,0.0
x17,14907,0.0,1.0,0.516952232900956,0.10624752945271279,qbin20,0.5172133380941804,0.017213338094180353,0.07226719957023003,0.0
x19,16,0.0,1.0,0.5193015327857563,0.1293109850940878,as_str,0.5169791768670601,0.016979176867060075,0.13931216538202912,6.697923643670462e-05
x0,14921,0.0,1.0,0.5174101808086912,0.04908862134373356,qbin20,0.5164994100689526,0.016499410068952614,0.023791115339822505,0.0
x16,14915,0.0,1.0,0.5038847327676046,-0.0036921125393641527,qbin20,0.5153369384011675,0.015336938401167455,-0.0053352642709779885,0.0
c1,2,0.0,1.0,,,as_str,0.5138416104799141,0.013841610479914057,-0.013323438222815365,0.0
x7,14917,0.0,1.0,0.5103594449473321,-0.02864419343132197,qbin20,0.5136011299846586,0.013601129984658566,-0.004582066453229553,0.0
w1,2,0.0,1.0,,,as_str,0.5135208703035399,0.013520870303539878,0.11699661702061358,0.0
w2,2,0.0,1.0,,,as_str,0.5131607466568583,0.013160746656858291,0.117752801282183,0.0
x15,14928,0.0,1.0,0.5136963170708212,0.08836592558718472,qbin20,0.5123310068474993,0.012331006847499326,-0.038059962836965666,0.0
r2,2,0.0,1.0,,,as_str,0.5104703058087907,0.010470305808790714,0.0058893603410980645,0.0
x20,125,0.0,1.0,0.510644035924492,0.08614274388290584,qbin20,0.5100168858805857,0.01001688588058569,0.10112356736593611,0.0
x3,14924,0.0,1.0,0.5028180701611922,-0.0018396837707879703,qbin20,0.5098077778149305,0.009807777814930474,0.007167321477321387,0.0
x8,14917,0.0,1.0,0.506977566697636,0.030988469615614533,qbin20,0.509765806927749,0.009765806927748977,-0.006024796502563581,0.0
x1,14925,0.0,1.0,0.5282182191565976,0.11360241486678335,qbin20,0.5090161775254581,0.009016177525458136,0.0695165907057521,0.0
x11,14922,0.0,1.0,0.5077206280417076,0.08813636686165491,qbin20,0.5088655102505495,0.008865510250549491,-0.04239869771586841,0.0
x2,14922,0.0,1.0,0.5141737950001553,0.028972291217950263,qbin20,0.5083836038577192,0.00838360385771919,0.01022289154746945,0.0
x14,14920,0.0,1.0,0.518326847873422,0.06545702972156707,qbin20,0.5082047735452946,0.008204773545294586,0.04709906709235578,0.0
r1,2,0.0,1.0,,,as_str,0.5080157179604149,0.008015717960414892,0.047810502145629985,0.0
x9,14927,0.0,1.0,0.5164139506750769,0.11977392775379468,qbin20,0.5064062451485933,0.006406245148593337,0.07847017214736887,0.0
x13,14925,0.0,1.0,0.5135880187472285,0.11323941669239047,qbin20,0.5062222897604371,0.00622228976043715,0.05239473599634502,0.0
x12,14919,0.0,1.0,0.501133313469933,0.0044496655510665225,qbin20,0.505156995499487,0.005156995499487005,-0.003940530367613733,0.0
max_g,14921,0.0,1.0,0.5118430548556261,0.10012484149375361,qbin20,0.5050932803589583,0.005093280358958285,0.06391312642350955,0.0
x6,14917,0.0,1.0,0.5042758805377687,0.02294155235100929,qbin20,0.5042462993967736,0.004246299396773567,0.00040349184486723245,0.0
x18,14930,0.0,1.0,0.5054815919221641,-0.0010467350839371591,qbin20,0.5040171637293515,0.004017163729351458,0.006231218972572781,0.0
grades,3,0.0,0.0,,,as_str,0.5040023855983581,0.0040023855983580825,-0.054164829783035946,0.0
t2,2,0.0,1.0,,,as_str,0.5034439513756698,0.0034439513756697737,-0.04651966116983786,0.0
x10,14922,0.0,1.0,0.5224458165051721,0.08711818610059892,qbin20,0.5030023987344745,0.0030023987344744985,0.03126671677308719,0.0
x4,14915,0.0,1.0,0.5016326849266646,-0.0020770722587654983,qbin20,0.502325341399705,0.002325341399704972,-0.01437338241302643,0.0
code,4,0.0,0.0,,,as_str,0.5020830198578274,0.0020830198578274395,-0.09476567935359628,0.0
cc,12285,0.0,1.0,0.5152025419977565,0.10485760508133794,qbin20,0.5019344175406165,0.0019344175406165176,-0.08068856317549179,0.0
c2,2,0.0,1.0,,,as_str,0.5017299120915165,0.0017299120915165167,0.049173395337270054,0.0
version,19,0.0,0.0,,,as_str,0.5008091648694071,0.0008091648694070752,-0.007479321486387315,0.0
t1,2,0.0,1.0,,,as_str,0.5006631748480788,0.0006631748480787625,-0.04100724161311797,0.0
month,13,0.0,0.0,,,as_str,0.500395849902753,0.00039584990275298715,0.04705078696123303,0.0
id,14930,0.0,0.0011386470194239785,,,as_str,0.5,0.0,,1.0
